Date,Close,Volume,Open,High,Low
08/28/2015, $113.29, 53075960, $112.17, $113.31, $111.54
08/27/2015, $112.92, 83825220, $112.23, $113.24, $110.02
08/26/2015, $109.69, 96531890, $107.085, $109.89, $105.05
08/25/2015, $103.74, 102731700, $111.11, $111.11, $103.5
08/24/2015, $103.12, 161882500, $94.87, $108.8, $92
08/21/2015, $105.76, 127246600, $110.43, $111.9, $105.645
08/20/2015, $112.65, 68176940, $114.08, $114.35, $111.63
08/19/2015, $115.01, 48079330, $116.1, $116.52, $114.68
08/18/2015, $116.5, 34525630, $116.43, $117.44, $116.01
08/17/2015, $117.16, 40827260, $116.04, $117.65, $115.5
08/14/2015, $115.96, 42876370, $114.32, $116.31, $114.01
08/13/2015, $115.15, 48407640, $116.04, $116.4, $114.54
08/12/2015, $115.24, 101593400, $112.53, $115.42, $109.63
08/11/2015, $113.49, 96820670, $117.81, $118.18, $113.33
08/10/2015, $119.72, 54851010, $116.53, $119.99, $116.53
08/07/2015, $115.52, 38610120, $114.58, $116.25, $114.5
08/06/2015, $115.13, 52828890, $115.97, $116.5, $114.115
08/05/2015, $115.4, 99202400, $112.95, $117.44, $112.1
08/04/2015, $114.64, 123601900, $117.42, $117.7, $113.25
08/03/2015, $118.44, 69639900, $121.5, $122.57, $117.52
07/31/2015, $121.3, 42832890, $122.6, $122.6425, $120.91
07/30/2015, $122.37, 33400950, $122.32, $122.5699, $121.71
07/29/2015, $122.99, 36912040, $123.15, $123.5, $122.27
07/28/2015, $123.38, 33570380, $123.38, $123.91, $122.55
07/27/2015, $122.77, 44371580, $123.09, $123.61, $122.12
07/24/2015, $124.5, 42090320, $125.32, $125.74, $123.9
07/23/2015, $125.16, 50832950, $126.2, $127.09, $125.06
07/22/2015, $125.22, 115288400, $121.99, $125.5, $121.99
07/21/2015, $130.75, 73006780, $132.85, $132.92, $130.32
07/20/2015, $132.07, 55204920, $130.97, $132.97, $130.7
07/17/2015, $129.62, 45970470, $129.08, $129.62, $128.31
07/16/2015, $128.51, 35987630, $127.74, $128.57, $127.35
07/15/2015, $126.82, 33559770, $125.72, $127.15, $125.58
07/14/2015, $125.61, 31695870, $126.04, $126.37, $125.04
07/13/2015, $125.66, 41365600, $125.03, $125.755, $124.32
07/10/2015, $123.28, 61292800, $121.94, $123.85, $121.21
07/09/2015, $120.07, 78291510, $123.85, $124.06, $119.22
07/08/2015, $122.57, 60609830, $124.48, $124.64, $122.54
07/07/2015, $125.69, 46737090, $125.89, $126.15, $123.77
07/06/2015, $126, 27972950, $124.94, $126.23, $124.85
07/02/2015, $126.44, 27171180, $126.43, $126.69, $125.77
07/01/2015, $126.6, 30206890, $126.9, $126.94, $125.99
06/30/2015, $125.425, 44326050, $125.57, $126.12, $124.86
06/29/2015, $124.53, 49043410, $125.46, $126.47, $124.48
06/26/2015, $126.75, 43986290, $127.67, $127.99, $126.51
06/25/2015, $127.5, 31872390, $128.86, $129.2, $127.5
06/24/2015, $128.11, 55077520, $127.21, $129.8, $127.12
06/23/2015, $127.03, 30192140, $127.48, $127.61, $126.8792
06/22/2015, $127.61, 33976180, $127.49, $128.06, $127.08
06/19/2015, $126.6, 54361530, $127.71, $127.82, $126.4
06/18/2015, $127.88, 35363990, $127.23, $128.31, $127.22
06/17/2015, $127.3, 32858900, $127.72, $127.88, $126.74
06/16/2015, $127.6, 31443650, $127.03, $127.85, $126.37
06/15/2015, $126.92, 43896960, $126.1, $127.24, $125.71
06/12/2015, $127.17, 36826260, $128.185, $128.33, $127.11
06/11/2015, $128.59, 35344520, $129.18, $130.18, $128.475
06/10/2015, $128.88, 39029190, $127.92, $129.34, $127.85
06/09/2015, $127.42, 56002840, $126.7, $128.08, $125.62
06/08/2015, $127.8, 52609900, $128.9, $129.21, $126.83
06/05/2015, $128.65, 35577760, $129.5, $129.69, $128.36
06/04/2015, $129.36, 38335980, $129.58, $130.58, $128.91
06/03/2015, $130.12, 30939810, $130.66, $130.94, $129.9
06/02/2015, $129.96, 33595980, $129.86, $130.655, $129.32
06/01/2015, $130.535, 32016020, $131.2, $131.39, $130.05
05/29/2015, $130.28, 50474170, $131.23, $131.45, $129.9
05/28/2015, $131.78, 30678840, $131.86, $131.95, $131.1
05/27/2015, $132.045, 45771120, $130.34, $132.26, $130.05
05/26/2015, $129.62, 70544670, $132.6, $132.91, $129.12
05/22/2015, $132.54, 45469340, $131.6, $132.97, $131.4
05/21/2015, $131.39, 39589780, $130.07, $131.63, $129.83
05/20/2015, $130.06, 36261170, $130, $130.98, $129.34
05/19/2015, $130.07, 44395440, $130.69, $130.88, $129.64
